Language,Text
Afrikaans,Niemand sal aan arbitrêre arrestasie aanhouding of bannelingskap onderworpe  wees nie  Artikel
Azerbaijani,Heç kəs özbaşınalıqla həbsə tutulub saxlanılmaya və ya sürgün edilməyə məruz qala  bilməz      Maddə
Belarusian,Ni nad kim nie pavinny ŭčyniacca samavołʹny aryšt zatrymannie abo vygnannie  Artykuł
Cantonese,tiu4 jam6 ho4 jan4 m4 hou2 gaa1 ji5 jam6 ji3 dai6 bou6 keoi1 gam3 waak6 fong3 zuk6   dai6
Catalan,Ningú no serà detingut pres o desterrat arbitràriament Article
Cebuano,Walay si bisan kinsa ang aristuhon pinsagi sa butangbutang ibutang sa  pagpugong o pahiklingon sa layong dapit  Artikulo
Czech,Nikdo nesmí být svévolně zatčen držen ve vazbě nebo vyhoštěn do vyhnanství   Článek
Danish,Ingen må underkastes vilkårlig anholdelse tilbageholdelse eller landsforvisning  Artikel
Dutch,Niemand zal onderworpen worden aan willekeurige arrestatie detentie of verbanning Artikel
English,No one shall be subjected to arbitrary arrest detention or exile   Article
Estonian,Kedagi ei või meelevaldselt vahistada kinni pidada või pagendada  Artikkel
Finnish,artikla  9 artikla  9 artikla  9 artikla      Ketään ei saa mielivaltaisesti pidättää vangita tai ajaa maanpakoon
French,Nul ne peut être arbitrairement arrêté détenu ni exilé   Article
Frisian,Nimmen sil ûnderwurpen wurde oan eigenwillige arrestaasje detinsje of ferbanning  Kêst
Galician,Ninguín poderá ser arbitrariamente detido preso nin desterrado  Artigo
German,Niemand darf willkürlich festgenommen in Haft gehalten oder des Landes verwiesen  werden  Artikel
Hawaiian,‘A’ole e hopu ho’opa’ahao a ho’okuewa wale ‘ia ke kanaka me ke kumu ‘ole  Paukū
Hungarian,cikk   Senkit sem lehet önkényesen letartóztatni őrizetbe venni vagy száműzni
Icelandic,grein Ekki má eftir geðþótta taka menn fasta hneppa þá i fangelsi eða varðhald né gera útlæga
Igbo,O̟ di̟̟ghi̟ onye a ga akwagide na njide n efu mkpo̟chi ma o̟ bu̟ nchu̟pu̟ n obodo ya  Nkeji edemede
Ilocano,Awan iti siasinoman a maikabil iti babaen ti di nga nainkalintegan a  pannakaaresto panangikulong wenno ibelleng iti sabali nga lugar  Artikulo
Indonesian,Tak seorang pun boleh ditangkap ditahan atau dibuang dengan sewenang  wenang       Pasal
Irish,Ní dhéanfar aon duine a ghabháil nó a choinneáil nó a chur ar deoraíocht go  treallach     Airteagal
Italian,Nessun individuo potrà essere arbitrariamente arrestato detenuto o esiliato    Articolo
Javanese,Ora ana siji wae uwong kang kena ditangkep ditahan utawa kasingkirake kanthi  sawenang wenang  BAB
Kazakh,bap Eşkim de negizsiz tђtќındalwѓa ќamawda ђstalwѓa nemese ќwѓınѓa ђşıratılwѓa tïis emes
Kyrgyz,statʼja  Eç kim eenbaştyq menen qamaqqa alynuuğa qarmaluuğa ce quuğuntuqtaluuğa  tijiş emes
Latvian,pants Nevienu nedrìkst patvaîìgi arestèt aizturèt vai pakîaut izraidìøanai
Lithuanian,straipsnis Niekas negali būti savavališkai areštuotas suimtas ar ištretmas
Malagasy,Tsy misy olona azo samborina tsy amin antony na tazonim poana na atao sesi tany tsy voameloka  ANDININY FAHA
Malay,Tiada sesiapa pun boleh dikenakan tangkapan tahanan atau pembuangan  negeri secara sewenang wenangnya       Perkara
Mandarin,tiáo rèn hé rén bù dé jiā yǐ rèn yì dài bǔ  jū jīn huò fàng zhú  dì
Maori,Tuaiwa Kia kaua te tangata e hopukina pokanoatia e mauheretia pokanoatia rānei e panaia pokanoatia rānei i te whenua Rārangi
Nigerian Pidgin,Nobodi go henta ani how arrest or henta cell for no rizin or comot go hide becos say dem wan  arrest or kill am  ARTICLE
Norwegian,Ingen må utsettes for vilkårlig arrest fengsling eller landsforvisning   Artikkel
Occitan,Degun pòt pas èsser arrestat embarrat o exiliat arbitràriament  Article
Polish,Nikogo nie wolno samowolnie aresztować zatrzymać lub wygnać z kraju  Artykuł
Portuguese,Ninguém pode ser arbitrariamente preso detido ou exilado     Artigo
Romanian,Nimeni nu trebuie să fie arestat deţinut sau exilat în mod arbitrar  Articolul
Russian,Nikto ne možet bytʹ podvergnut proizvolʹnomu arestu zaderžaniju ili izgnaniju  Statʹja
Samoan,E leai se tagata e tatau ona saisaitia faapagota i se faiga saua taofia pe faaaunuua i se isi atunuu  Mataupu
Scots,Naebody shal be gart thole wulsome arrest detention nor exile            Airticle
Serbian,Niko ne sme biti proizvoljno uhapšen pritvoren niti proteran  Član
Spanish,Nadie podrá ser arbitrariamente detenido preso ni desterrado   Artículo
Swahili,Mtu ye yote asikamatwe asifungiwe au kuhamishwa kutoka nchi yake bila  sheria   Kifungu cha
Swedish,Ingen får godtyckligt anhållas hållas fängslad eller landsförvisas    Artikel
Tagalog,Walang sino mang ipaiilalim sa di makatwirang pagdakip pagpigil o  pagpapatapon   Artikulo
Tahitian,'Eiaha roa te ta'ata ia tape'ahia ia tamauhia i te 'auri 'aorc ra ia tuvaruhia ma te tumu 'ore  'IRAVA
Tongan,Kunyina muntu weelede kwaangwa kuyobolwa muntolongo kakunyina mulandu  antela kutija kuya kukkala kucisi cimbi  Kapango
Turkish,Hiç kimse keyfi olarak tutuklanamaz alıkonulanamaz veya sürülemez   Madde
Turkmen,Hiç kim eden ýtdilikli tussag edilmäge saklanylmaga ýa da ýurdundan      kowulmaga duçar edilip bilinmez Madda
